,word,neg,neu,pos,compound
0,anopheles,0.0,1.0,0.0,0.0
1,uniclinal,0.0,1.0,0.0,0.0
2,sarong,0.0,1.0,0.0,0.0
3,turcoman,0.0,1.0,0.0,0.0
4,corrugator,0.0,1.0,0.0,0.0
5,self-murder,0.0,1.0,0.0,0.0
6,anacardium,0.0,1.0,0.0,0.0
7,knurly,0.0,1.0,0.0,0.0
8,pock,0.0,1.0,0.0,0.0
9,neuroma,0.0,1.0,0.0,0.0
10,hawser,0.0,1.0,0.0,0.0
11,jolty,0.0,1.0,0.0,0.0
12,proterandry,0.0,1.0,0.0,0.0
13,leucic,0.0,1.0,0.0,0.0
14,petrescence,0.0,1.0,0.0,0.0
15,bathos,0.0,1.0,0.0,0.0
16,oblectation,0.0,1.0,0.0,0.0
17,overtread,0.0,1.0,0.0,0.0
18,taeniada,0.0,1.0,0.0,0.0
19,fun,0.0,0.0,1.0,0.5106
20,mixer,0.0,1.0,0.0,0.0
21,blazer,0.0,1.0,0.0,0.0
22,elegist,0.0,1.0,0.0,0.0
23,conspirator,0.0,1.0,0.0,0.0
24,logicality,0.0,1.0,0.0,0.0
25,quinze,0.0,1.0,0.0,0.0
26,wobble,0.0,1.0,0.0,0.0
27,dissimulate,0.0,1.0,0.0,0.0
28,hempen,0.0,1.0,0.0,0.0
29,yahwe,0.0,1.0,0.0,0.0
30,solisequious,0.0,1.0,0.0,0.0
31,saline,0.0,1.0,0.0,0.0
32,grumose,0.0,1.0,0.0,0.0
33,stalagmite,0.0,1.0,0.0,0.0
34,sex-,0.0,1.0,0.0,0.0
35,tympanist,0.0,1.0,0.0,0.0
36,faquir,0.0,1.0,0.0,0.0
37,old-fashioned,0.0,1.0,0.0,0.0
38,rheumides,0.0,1.0,0.0,0.0
39,inquisitorial,0.0,1.0,0.0,0.0
40,pinacate bug,0.0,1.0,0.0,0.0
41,athletism,0.0,1.0,0.0,0.0
42,pyronomics,0.0,1.0,0.0,0.0
43,vague,1.0,0.0,0.0,-0.1027
44,advocacy,0.0,1.0,0.0,0.0
45,manhead,0.0,1.0,0.0,0.0
46,birdcage,0.0,1.0,0.0,0.0
47,reflectible,0.0,1.0,0.0,0.0
48,enfect,0.0,1.0,0.0,0.0
49,pyrothonide,0.0,1.0,0.0,0.0
50,water feather-foil,0.0,1.0,0.0,0.0
51,pastern,0.0,1.0,0.0,0.0
52,lenient,0.0,0.0,1.0,0.2732
53,massage,0.0,1.0,0.0,0.0
54,owler,0.0,1.0,0.0,0.0
55,selenic,0.0,1.0,0.0,0.0
56,outnoise,0.0,1.0,0.0,0.0
57,signification,0.0,1.0,0.0,0.0
58,hover,0.0,1.0,0.0,0.0
59,sopite,0.0,1.0,0.0,0.0
60,underclothing,0.0,1.0,0.0,0.0
61,mendicate,0.0,1.0,0.0,0.0
62,overseer,0.0,1.0,0.0,0.0
63,self-torture,0.0,1.0,0.0,0.0
64,sunniness,0.0,1.0,0.0,0.0
65,inalienably,0.0,1.0,0.0,0.0
66,relaxative,0.0,1.0,0.0,0.0
67,cheap-jack,0.0,1.0,0.0,0.0
68,stabler,0.0,1.0,0.0,0.0
69,iridoline,0.0,1.0,0.0,0.0
70,advertisement,0.0,1.0,0.0,0.0
71,eloper,0.0,1.0,0.0,0.0
72,revictual,0.0,1.0,0.0,0.0
73,diphyodont,0.0,1.0,0.0,0.0
74,football,0.0,1.0,0.0,0.0
75,hiems,0.0,1.0,0.0,0.0
76,suspection,0.0,1.0,0.0,0.0
77,manequin,0.0,1.0,0.0,0.0
78,plowboy,0.0,1.0,0.0,0.0
79,mastiff,0.0,1.0,0.0,0.0
80,displume,0.0,1.0,0.0,0.0
81,post-disseizin,0.0,1.0,0.0,0.0
82,alloxanate,0.0,1.0,0.0,0.0
83,cat-rigged,0.0,1.0,0.0,0.0
84,deduce,0.0,1.0,0.0,0.0
85,alcoholometric,0.0,1.0,0.0,0.0
86,antapoplectic,0.0,1.0,0.0,0.0
87,imprudent,0.0,1.0,0.0,0.0
88,scaliola,0.0,1.0,0.0,0.0
89,vinometer,0.0,1.0,0.0,0.0
90,forbearant,0.0,1.0,0.0,0.0
91,forestay,0.0,1.0,0.0,0.0
92,storehouse,0.0,1.0,0.0,0.0
93,baccarat,0.0,1.0,0.0,0.0
94,slipperwort,0.0,1.0,0.0,0.0
95,hermit,0.0,1.0,0.0,0.0
96,consequence,0.0,1.0,0.0,0.0
97,naiad,0.0,1.0,0.0,0.0
98,questorship,0.0,1.0,0.0,0.0
99,shallow-brained,0.0,1.0,0.0,0.0
100,sahlite,0.0,1.0,0.0,0.0
101,mistakingly,0.0,1.0,0.0,0.0
102,nitrate,0.0,1.0,0.0,0.0
103,concent,0.0,1.0,0.0,0.0
104,howsoever,0.0,1.0,0.0,0.0
105,temporizingly,0.0,1.0,0.0,0.0
106,traditive,0.0,1.0,0.0,0.0
107,diastolic,0.0,1.0,0.0,0.0
108,traditionally,0.0,1.0,0.0,0.0
109,chromophane,0.0,1.0,0.0,0.0
110,electrolytical,0.0,1.0,0.0,0.0
111,tyfoon,0.0,1.0,0.0,0.0
112,ambient,0.0,1.0,0.0,0.0
113,disrealize,0.0,1.0,0.0,0.0
114,bogus,0.0,1.0,0.0,0.0
115,spinnerule,0.0,1.0,0.0,0.0
116,defect,1.0,0.0,0.0,-0.34
117,enchorial,0.0,1.0,0.0,0.0
118,solemnness,0.0,1.0,0.0,0.0
119,trombone,0.0,1.0,0.0,0.0
120,brewer,0.0,1.0,0.0,0.0
121,gummer,0.0,1.0,0.0,0.0
122,fulmine,0.0,1.0,0.0,0.0
123,noctilucine,0.0,1.0,0.0,0.0
124,copiousness,0.0,1.0,0.0,0.0
125,entitative,0.0,1.0,0.0,0.0
126,sunken,0.0,1.0,0.0,0.0
127,fisetic,0.0,1.0,0.0,0.0
128,boarder,0.0,1.0,0.0,0.0
129,niobate,0.0,1.0,0.0,0.0
130,challengeable,0.0,1.0,0.0,0.0
131,yelper,0.0,1.0,0.0,0.0
132,moonbeam,0.0,1.0,0.0,0.0
133,impleader,0.0,1.0,0.0,0.0
134,stelleridan,0.0,1.0,0.0,0.0
135,zouave,0.0,1.0,0.0,0.0
136,chatty,0.0,1.0,0.0,0.0
137,triens,0.0,1.0,0.0,0.0
138,coarct,0.0,1.0,0.0,0.0
139,orthognathous,0.0,1.0,0.0,0.0
140,sometime,0.0,1.0,0.0,0.0
141,hederal,0.0,1.0,0.0,0.0
142,ginglymodi,0.0,1.0,0.0,0.0
143,anthropical,0.0,1.0,0.0,0.0
144,jurat,0.0,1.0,0.0,0.0
145,pyrosulphuric,0.0,1.0,0.0,0.0
146,jihad,0.0,1.0,0.0,0.0
147,epitome,0.0,1.0,0.0,0.0
148,charlatanism,0.0,1.0,0.0,0.0
149,dispersed,0.0,1.0,0.0,0.0
150,valorous,0.0,1.0,0.0,0.0
151,manichaeism,0.0,1.0,0.0,0.0
152,phyle,0.0,1.0,0.0,0.0
153,assentator,0.0,1.0,0.0,0.0
154,exorcist,0.0,1.0,0.0,0.0
155,grapplement,0.0,1.0,0.0,0.0
156,sirvente,0.0,1.0,0.0,0.0
157,orthographical,0.0,1.0,0.0,0.0
158,epitrite,0.0,1.0,0.0,0.0
159,infra-red,0.0,1.0,0.0,0.0
160,appropinquation,0.0,1.0,0.0,0.0
161,unstring,0.0,1.0,0.0,0.0
162,capsule,0.0,1.0,0.0,0.0
163,minimus,0.0,1.0,0.0,0.0
164,immusical,0.0,1.0,0.0,0.0
165,trashiness,0.0,1.0,0.0,0.0
166,angust,0.0,1.0,0.0,0.0
167,xenotime,0.0,1.0,0.0,0.0
168,exportable,0.0,1.0,0.0,0.0
169,train dispatcher,0.0,1.0,0.0,0.0
170,stolid,0.0,1.0,0.0,0.0
171,gadding,0.0,1.0,0.0,0.0
172,ketone,0.0,1.0,0.0,0.0
173,monopathy,0.0,1.0,0.0,0.0
174,puberulent,0.0,1.0,0.0,0.0
175,instableness,0.0,1.0,0.0,0.0
176,equivalue,0.0,1.0,0.0,0.0
177,millefiore glass,0.0,1.0,0.0,0.0
178,abstractedness,0.0,1.0,0.0,0.0
179,zylonite,0.0,1.0,0.0,0.0
180,benevolence,0.0,0.0,1.0,0.4019
181,copyist,0.0,1.0,0.0,0.0
182,fierasfer,0.0,1.0,0.0,0.0
183,fog,0.0,1.0,0.0,0.0
184,mistrow,0.0,1.0,0.0,0.0
185,hosteler,0.0,1.0,0.0,0.0
186,gorcock,0.0,1.0,0.0,0.0
187,hydraulic,0.0,1.0,0.0,0.0
188,holorhinal,0.0,1.0,0.0,0.0
189,apothegmatical,0.0,1.0,0.0,0.0
190,drasty,0.0,1.0,0.0,0.0
191,-hood,0.0,1.0,0.0,0.0
192,unpaganize,0.0,1.0,0.0,0.0
193,humective,0.0,1.0,0.0,0.0
194,prelector,0.0,1.0,0.0,0.0
195,revocability,0.0,1.0,0.0,0.0
196,bibitory,0.0,1.0,0.0,0.0
197,fellowship,0.0,1.0,0.0,0.0
198,futurism,0.0,1.0,0.0,0.0
199,nucule,0.0,1.0,0.0,0.0
200,pityriasis,1.0,0.0,0.0,-0.2023
201,jenkins,0.0,1.0,0.0,0.0
202,reciprocornous,0.0,1.0,0.0,0.0
203,paranymph,0.0,1.0,0.0,0.0
204,subastral,0.0,1.0,0.0,0.0
205,surrogation,0.0,1.0,0.0,0.0
206,alvine,0.0,1.0,0.0,0.0
207,desirably,0.0,1.0,0.0,0.0
208,evangelize,0.0,1.0,0.0,0.0
209,bewail,0.0,1.0,0.0,0.0
210,monovalent,0.0,1.0,0.0,0.0
211,felly,0.0,1.0,0.0,0.0
212,podge,0.0,1.0,0.0,0.0
213,mustahfiz,0.0,1.0,0.0,0.0
214,inexorably,0.0,1.0,0.0,0.0
215,reduit,0.0,1.0,0.0,0.0
216,skua,0.0,1.0,0.0,0.0
217,misproud,0.0,1.0,0.0,0.0
218,dey,0.0,1.0,0.0,0.0
219,civil service commission,0.0,1.0,0.0,0.0
220,spermatooen,0.0,1.0,0.0,0.0
221,destiny,0.0,1.0,0.0,0.0
222,exposedness,0.0,1.0,0.0,0.0
223,superannuate,0.0,1.0,0.0,0.0
224,neuraxis,0.0,1.0,0.0,0.0
225,stag-horned,0.0,1.0,0.0,0.0
226,epidermic,0.0,1.0,0.0,0.0
227,aromatize,0.0,1.0,0.0,0.0
228,rompingly,0.0,1.0,0.0,0.0
229,kickable,0.0,1.0,0.0,0.0
230,outcant,0.0,1.0,0.0,0.0
231,rifling,0.0,1.0,0.0,0.0
232,intendent,0.0,1.0,0.0,0.0
233,cell,0.0,1.0,0.0,0.0
234,inadequate,1.0,0.0,0.0,-0.4019
235,cloyless,0.0,1.0,0.0,0.0
236,store,0.0,1.0,0.0,0.0
237,gentisin,0.0,1.0,0.0,0.0
238,brainsickly,0.0,1.0,0.0,0.0
239,galliot,0.0,1.0,0.0,0.0
240,bleareyedness,0.0,1.0,0.0,0.0
241,circumflexion,0.0,1.0,0.0,0.0
242,resuscitable,0.0,1.0,0.0,0.0
243,indolence,0.0,1.0,0.0,0.0
244,creatic,0.0,1.0,0.0,0.0
245,exurgent,0.0,1.0,0.0,0.0
246,sennet,0.0,1.0,0.0,0.0
247,eggnog,0.0,1.0,0.0,0.0
248,meiocene,0.0,1.0,0.0,0.0
249,effund,0.0,1.0,0.0,0.0
250,quadrivalent,0.0,1.0,0.0,0.0
251,pyro-,0.0,1.0,0.0,0.0
252,septuple,0.0,1.0,0.0,0.0
253,oylet,0.0,1.0,0.0,0.0
254,enhearten,0.0,1.0,0.0,0.0
255,disobediency,0.0,1.0,0.0,0.0
256,huttoning,0.0,1.0,0.0,0.0
257,canaliculated,0.0,1.0,0.0,0.0
258,empale,0.0,1.0,0.0,0.0
259,lecythis,0.0,1.0,0.0,0.0
260,retex,0.0,1.0,0.0,0.0
261,penholder,0.0,1.0,0.0,0.0
262,adrian,0.0,1.0,0.0,0.0
263,clinoid,0.0,1.0,0.0,0.0
264,inscriptive,0.0,1.0,0.0,0.0
265,pistolade,0.0,1.0,0.0,0.0
266,cynarrhodium,0.0,1.0,0.0,0.0
267,subpellucid,0.0,1.0,0.0,0.0
268,antheriferous,0.0,1.0,0.0,0.0
269,peripatetic,0.0,1.0,0.0,0.0
270,sortable,0.0,1.0,0.0,0.0
271,rhabdophora,0.0,1.0,0.0,0.0
272,beechy,0.0,1.0,0.0,0.0
273,strockle,0.0,1.0,0.0,0.0
274,palmatifid,0.0,1.0,0.0,0.0
275,antherozoid,0.0,1.0,0.0,0.0
276,uncreatedness,0.0,1.0,0.0,0.0
277,waterlandian,0.0,1.0,0.0,0.0
278,haematozoon,0.0,1.0,0.0,0.0
279,scringe,0.0,1.0,0.0,0.0
280,chirurgeonly,0.0,1.0,0.0,0.0
281,outline,0.0,1.0,0.0,0.0
282,reintegration,0.0,1.0,0.0,0.0
283,occultation,0.0,1.0,0.0,0.0
284,counter-couchant,0.0,1.0,0.0,0.0
285,cacodylic,0.0,1.0,0.0,0.0
286,gairish,0.0,1.0,0.0,0.0
287,mestling,0.0,1.0,0.0,0.0
288,gambol,0.0,1.0,0.0,0.0
289,fenks,0.0,1.0,0.0,0.0
290,controverse,0.0,1.0,0.0,0.0
291,crumpy,0.0,1.0,0.0,0.0
292,weasel,0.0,1.0,0.0,0.0
293,enthronize,0.0,1.0,0.0,0.0
294,elliptical,0.0,1.0,0.0,0.0
295,rhamphotheca,0.0,1.0,0.0,0.0
296,tibio-,0.0,1.0,0.0,0.0
297,mysterial,0.0,1.0,0.0,0.0
298,corbiestep,0.0,1.0,0.0,0.0
299,digamma,0.0,1.0,0.0,0.0
300,pig-headed,0.0,1.0,0.0,0.0
301,parka,0.0,1.0,0.0,0.0
302,variformed,0.0,1.0,0.0,0.0
303,attendement,0.0,1.0,0.0,0.0
304,pivot,0.0,1.0,0.0,0.0
305,speculative,0.0,0.0,1.0,0.1027
306,synecdoche,0.0,1.0,0.0,0.0
307,introduction,0.0,1.0,0.0,0.0
308,mazdean,0.0,1.0,0.0,0.0
309,liftable,0.0,1.0,0.0,0.0
310,etherization,0.0,1.0,0.0,0.0
311,cyathophylloid,0.0,1.0,0.0,0.0
312,tetanomotor,0.0,1.0,0.0,0.0
313,preface,0.0,1.0,0.0,0.0
314,turbulent,0.0,1.0,0.0,0.0
315,paleology,0.0,1.0,0.0,0.0
316,nigh,0.0,1.0,0.0,0.0
317,beauxite,0.0,1.0,0.0,0.0
318,disorganization,0.0,1.0,0.0,0.0
319,holloa,0.0,1.0,0.0,0.0
320,spirograph,0.0,1.0,0.0,0.0
321,komenic,0.0,1.0,0.0,0.0
322,ironbark tree,0.0,1.0,0.0,0.0
323,oxygenizable,0.0,1.0,0.0,0.0
324,annex,0.0,1.0,0.0,0.0
325,accompaniment,0.0,1.0,0.0,0.0
326,megatherium,0.0,1.0,0.0,0.0
327,stainer,0.0,1.0,0.0,0.0
328,slum,0.0,1.0,0.0,0.0
329,penetrable,0.0,1.0,0.0,0.0
330,kimmerian,0.0,1.0,0.0,0.0
331,horribleness,1.0,0.0,0.0,-0.5267
332,supplementation,0.0,1.0,0.0,0.0
333,polybasic,0.0,1.0,0.0,0.0
334,corival,0.0,1.0,0.0,0.0
335,establisher,0.0,1.0,0.0,0.0
336,gallipoli oil,0.0,1.0,0.0,0.0
337,procuress,0.0,1.0,0.0,0.0
338,bunsen cell,0.0,1.0,0.0,0.0
339,white-ear,0.0,1.0,0.0,0.0
340,recite,0.0,1.0,0.0,0.0
341,explate,0.0,1.0,0.0,0.0
342,acroterial,0.0,1.0,0.0,0.0
343,upsilon,0.0,1.0,0.0,0.0
344,febrifugal,0.0,1.0,0.0,0.0
345,lieutenantry,0.0,1.0,0.0,0.0
346,submentum,0.0,1.0,0.0,0.0
347,mumblenews,0.0,1.0,0.0,0.0
348,trusty,0.0,0.0,1.0,0.4939
349,orthotropal,0.0,1.0,0.0,0.0
350,phonograph,0.0,1.0,0.0,0.0
351,abscess,0.0,1.0,0.0,0.0
352,supposition,0.0,1.0,0.0,0.0
353,torpid,0.0,1.0,0.0,0.0
354,varicotomy,0.0,1.0,0.0,0.0
355,illusory,0.0,1.0,0.0,0.0
356,devout,0.0,1.0,0.0,0.0
357,underminer,0.0,1.0,0.0,0.0
358,baldachin,0.0,1.0,0.0,0.0
359,beta rays,0.0,1.0,0.0,0.0
360,arterialize,0.0,1.0,0.0,0.0
361,caltrap,0.0,1.0,0.0,0.0
362,russification,0.0,1.0,0.0,0.0
363,compressive,0.0,1.0,0.0,0.0
364,gone,0.0,1.0,0.0,0.0
365,maffler,0.0,1.0,0.0,0.0
366,lumber state,0.0,1.0,0.0,0.0
367,telephote,0.0,1.0,0.0,0.0
368,prothonotary,0.0,1.0,0.0,0.0
369,cassareep,0.0,1.0,0.0,0.0
370,numerically,0.0,1.0,0.0,0.0
371,mooner,0.0,1.0,0.0,0.0
372,bluish,0.0,1.0,0.0,0.0
373,caranx,0.0,1.0,0.0,0.0
374,cisatlantic,0.0,1.0,0.0,0.0
